PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA,DEC,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC
81,NGC7802,NGC 7802,,,00010043+0614312,1237669516368216096,-,0.251518,6.241955,0,0.592,0.4,52.5,H,1,-2.0,0.4,56.73,5324.0,23.0,5328.0,26.45,0,0,73.3262,10.5055,63.5386,84.6215,55.0575,97.6567,Z,,14.636,,,,0.321,,,0.235,0.0,,,,,0,0,0,0,9.775358,9.807765,8.852521,7.242139,0.000331,0.001148,0.028653,0.143683,0,0,10.967,10.232,9.96,0.023,0.026,0.032,2,15.998,13.972,13.072,12.616,12.305,0.007,0.002,0.002,0.002,0.002,,,,42.1658,41.9226,11.0625,,,,,-0.13,-0.379,-0.141,W3,10.9773,,,,,-1,-1,?,?
82,ESO149-011A,,,,00010597-5359303,-,-,0.274861,-53.991803,0,0.556,0.389,176.0,H,1,-1.3,1.7,52.39,9419.7,21.4,9179.5,24.64,0,0,128.471,15.2091,114.1276,144.6169,101.3857,162.7921,Z,,14.76,,,,0.5,,,0.06,0.0,,,,,0,0,0,0,,,,,,,,,0,0,11.485,10.811,10.479,0.026,0.034,0.041,2,,,,,,,,,,,,,,,,11.342,,,,,,,,,11.2568,,,,,-1,-1,?,?
83,PGC000083,KUG 2358+320A,,,,-,-,0.27825,32.378833,0,0.29,0.098,40.0,H,1,7.5,3.0,90.0,542.0,4.9,668.4,11.29,0,0,10.5596,4.0294,7.2099,15.4657,4.9227,22.6512,Z,,18.143,,,,0.559,,,0.225,0.849,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?
89,PGC000089,KUG 2358+128A,,,00011339+1308386,1237678860082348071,-,0.305791,13.144056,0,0.373,0.15,66.7,H,1,4.9,2.1,69.35,5461.0,38.0,5498.3,39.98,0,0,75.8682,10.9625,65.6609,87.6623,56.8269,101.2899,Z,,15.879,,,,0.06,,,0.353,0.662,,,,,0,0,0,0,11.871863,11.769594,8.699586,6.497366,0.002873,0.008965,0.030133,0.079507,0,0,13.389,12.614,12.443,0.072,0.092,0.116,2,16.429,15.253,14.686,14.398,14.176,0.015,0.003,0.003,0.004,0.008,,,,42.2565,42.2501,10.0989,0.799,,,,-0.049,-0.079,-0.061,W3,10.0016,,,,,-1,-1,?,?
90,ESO241-011,ESO 241- G 011,,,00011378-4400426,-,-,0.30743,-44.011843,0,0.552,0.237,106.5,H,1,2.7,1.5,69.62,11681.4,39.3,11469.4,41.44,0,0,158.7045,17.028,142.5582,176.6796,128.0545,196.6905,Z,,15.126,,,,0.205,,,0.051,0.496,,,,,0,0,0,0,,,,,,,,,0,0,12.12,11.461,11.163,0.031,0.039,0.057,2,,,,,,,,,,,,,,,,11.252,,,,,,,,,11.1668,,,,,-1,-1,?,?
91,UGC12904,UGC 12904,,F23586+3424,00011417+3440326,1237666184037400728,-,0.309042,34.675722,0,0.512,0.344,34.4,H,1,2.0,0.3,50.6,12953.0,35.0,13089.2,36.37,0,0,180.7678,17.0764,164.4731,198.6768,149.6473,218.3601,Z,,15.347,,,,0.32,,,0.313,0.217,0.0702,0.0925,0.3931,1.018,1,1,3,2,10.476558,10.43565,8.471064,7.104971,0.000783,0.002468,0.021779,0.130599,0,0,11.907,11.134,10.807,0.039,0.045,0.061,2,16.606,14.682,13.733,13.285,12.92,0.015,0.002,0.002,0.002,0.003,,,43.8853,43.1021,42.7612,11.5074,0.951,,,0.821,0.703,0.388,0.924,F3,11.4854,,,,,-1,-1,?,?
92,PGC000092,MCG +02-01-010,,,00011497+1306446,-,-,0.31238,13.112499,0,0.256,0.094,47.5,H,1,5.5,2.5,71.37,5383.7,28.5,5420.8,31.1,0,0,74.6842,10.4991,64.8896,85.9571,56.3796,98.9315,Z,,16.741,,,,0.14,,,0.349,0.747,,,,,0,0,0,0,,,,,,,,,0,0,14.851,14.381,14.14,0.133,0.0,0.264,2,,,,,,,,,,,,,,,,9.4065,,,,,,,,,9.3213,,,,,-1,-1,?,?
94,UGC12905,UGC 12905,UGC 12905,,,-,-,0.510835,80.641966,1,0.539,0.065,53.5,H,1,6.1,0.4,90.0,4098.1,5.3,4367.7,8.75,1,1,67.6083,16.8128,52.723,86.6962,41.115,111.173,N,,16.5,,,,0.5,,,0.819,1.548,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?
95,PGC000095,MCG +06-01-006,,,00011570+3658099,-,-,0.315417,36.969417,0,0.265,0.233,22.1,H,1,,,29.14,12218.0,37.0,12363.8,38.22,0,0,169.8475,20.7434,150.3207,191.9107,133.0389,216.84,Z,,15.98,,,,0.5,,,0.489,,,,,,0,0,0,0,,,,,,,,,0,0,12.483,11.823,11.379,0.04,0.051,0.062,2,,,,,,,,,,,,,,,,11.2245,,,,,,,,,11.1393,,,,,-1,-1,?,?
99,ESO149-012,ESO 149- G 012,,F23587-5317,00011748-5300348,-,-,0.322797,-53.009649,0,0.674,0.131,43.7,H,1,3.0,0.5,90.0,9724.4,39.3,9486.6,41.19,0,0,132.8531,16.1203,117.6725,149.9922,104.2265,169.3423,Z,,16.037,,,,0.203,,,0.085,0.926,0.0934,0.131,0.2214,1.649,1,1,3,1,,,,,,,,,0,0,12.641,11.977,11.465,0.043,0.059,0.058,2,,,,,,,,,,,,,43.3685,,,10.9767,,,,0.304,,,0.407,F3,10.8916,,,,,-1,-1,?,?
100,ESO409-001,ESO 409- G 001,,,00011907-2725116,-,-,0.329459,-27.419889,0,0.53,0.322,103.1,H,1,-2.9,0.6,69.4,7840.0,38.0,7688.5,40.5,0,0,107.8074,14.3923,94.3344,123.2045,82.5452,140.8007,Z,,15.125,,,,0.34,,,0.062,0.0,,,,,0,0,0,0,,,,,,,,,0,0,11.934,11.238,11.044,0.031,0.045,0.053,2,,,,,,,,,,,,,,,,10.9637,,,,,,,,,10.8785,,,,,-1,-1,?,?
101,NGC7803,NGC 7803,,F23587+1249,00011996+1306406,1237678860082348107,-,0.333167,13.111278,0,0.431,0.254,80.2,H,1,0.1,1.0,60.36,5328.8,16.0,5365.9,20.27,0,0,73.8718,10.4288,64.1457,85.0727,55.7001,97.9719,Z,,14.073,,,,0.092,,,0.349,0.1,0.1351,0.2253,2.023,4.107,2,2,3,2,9.509764,9.410776,6.2625,3.938586,0.000256,0.000818,0.002521,0.006241,0,0,10.881,10.179,9.837,0.019,0.024,0.026,2,15.175,13.667,12.889,12.47,12.187,0.005,0.002,0.002,0.002,0.002,44.1983,43.885,43.8195,43.2082,43.2504,11.1182,0.88,0.788,0.781,0.755,0.797,0.836,0.788,FT,11.0624,,,,,-1,-1,?,?
102,IC5376,IC 5376,IC 5376,,00011976+3431326,1237666184037400587,-,0.332334,34.525722,0,0.82,0.221,4.0,H,1,2.0,0.3,90.0,5029.2,3.1,5164.7,10.37,2,1,69.0696,12.5009,57.6409,82.7645,48.0953,99.2229,N,,14.61,,,,0.326,,,0.31,0.629,,,,,0,0,0,0,9.987173,9.981069,7.812993,6.49789,0.000409,0.001314,0.010579,0.068889,0,0,11.447,10.746,10.43,0.023,0.028,0.037,2,16.303,14.443,13.495,13.001,12.61,0.009,0.002,0.002,0.002,0.002,,,,42.5296,42.1683,10.8226,0.95,,,,0.194,-0.154,0.182,W3,10.8003,,,,,-1,-1,?,?
106,ESO538-018,ESO 538- G 018,,F23588-1733,00012328-1716403,-,-,0.346967,-17.277782,0,0.558,0.097,79.1,H,1,5.4,1.2,90.0,8966.2,39.3,8858.3,41.76,0,0,124.4282,15.6678,109.7067,141.1252,96.727,160.0627,Z,,17.562,,,,0.413,,,0.112,1.258,0.0814,0.2366,0.2098,0.8125,1,1,3,1,,,,,,,,,0,0,13.952,13.094,12.857,0.077,0.085,0.129,2,,,,,,,,,,,,,43.2882,,,10.363,,,,0.224,,,0.327,F3,10.2778,,,,,-1,-1,?,?
108,PGC000108,MRK 0934,,,00012606+1306466,1237678860082413581,-,0.358467,13.112885,1,0.313,0.217,148.5,H,1,9.0,2.0,52.32,5254.6,25.5,5291.6,28.37,0,0,72.8176,10.4286,63.1014,84.03,54.6816,96.9687,Z,,15.286,,,,0.081,,,0.35,0.293,,,,,0,0,0,0,11.610365,11.555378,8.290607,7.421953,0.001965,0.006314,0.016757,0.154853,0,0,13.113,12.415,12.238,0.058,0.078,0.097,2,16.121,15.102,14.609,14.347,14.153,0.01,0.004,0.003,0.004,0.011,,,,42.3845,41.8446,10.1453,,,,,0.065,-0.45,0.053,W3,10.0601,,,,,-1,-1,?,?
109,NGC7805,NGC 7805,,,00012677+3126016,1237663234988048479,-,0.361545,31.43375,0,0.708,0.347,47.0,H,1,-1.9,1.0,81.28,4831.2,34.2,4953.3,35.72,0,0,68.8057,9.698,59.7602,79.2205,51.9038,91.2116,Z,14.668,14.198,13.288,13.288,0.093,0.093,0.093,0.093,0.229,0.0,,,,,0,0,0,0,9.970572,10.002374,9.3853,8.273403,0.00031,0.001075,0.033868,0.274903,0,0,11.161,10.4,10.134,0.023,0.022,0.03,2,16.048,14.106,13.164,12.731,12.414,0.007,0.002,0.002,0.002,0.002,,,,41.8974,41.4548,10.9376,0.947,,,,-0.368,-0.807,-0.38,W3,10.9142,,,,,-1,-1,?,?
110,UGC12910,UGC 12910,,,,1237678777941426224,-,0.367515,5.388895,1,0.456,0.456,0.0,H,2,9.0,0.5,0.0,3947.5,4.2,3947.0,13.79,0,0,56.1437,8.8395,47.9649,65.717,40.9776,76.9227,Z,,17.0,,,,0.5,,,0.193,0.0,,,,,0,0,0,0,16.846178,16.167217,,9.869849,0.089227,0.174555,,0.90529,1,1,,,,,,,0,21.896,20.919,20.299,20.017,22.827,0.26,0.047,0.043,0.05,1.421,,,,,,,0.819,,,,,,,,,,,,,-1,-1,?,?
112,NGC7806,NGC 7806,NGC 7806,,00013005+3126306,1237663234988048481,-,0.37547,31.441915,0,0.605,0.327,20.1,H,1,4.1,0.4,59.75,4767.1,2.5,4889.2,10.6,1,1,64.2688,11.8387,53.4564,77.2681,44.4631,92.8966,N,,14.286,,,,0.099,,,0.231,0.43,,,,,0,0,0,0,10.052388,9.988648,7.813429,6.447208,0.000371,0.001155,0.008462,0.052972,0,0,11.303,10.634,10.345,0.024,0.032,0.036,2,16.158,14.293,13.346,12.895,12.576,0.008,0.002,0.002,0.002,0.002,,,,42.4669,42.126,10.794,0.95,,,,0.138,-0.193,0.126,W3,10.7716,,,,,-1,-1,?,?
113,PGC000113,QP 088,,,00013279-3345318,-,-,0.38667,-33.758828,0,0.261,0.185,145.2,H,1,-1.0,2.0,51.15,6898.5,33.6,6721.9,36.32,0,0,97.5687,13.5679,84.902,112.1253,73.8796,128.8536,Z,,16.25,,,,0.5,,,0.057,0.0,,,,,0,0,0,0,,,,,,,,,0,0,13.493,12.923,12.437,0.067,0.103,0.105,2,,,,,,,,,,,,,,,,10.3198,,,,,,,,,10.2346,,,,,-1,-1,?,?
116,UGC12912,UGC 12912,,,00013359+0900445,1237679317478867047,-,0.38994,9.012506,0,0.339,0.295,118.5,H,1,4.0,2.0,30.39,9251.3,2.7,9268.4,13.11,0,0,129.7007,15.4512,115.1344,146.1098,102.204,164.595,Z,,15.579,,,,0.318,,,0.311,0.099,,,,,0,0,0,0,10.742509,10.680648,8.533178,7.233855,0.000839,0.002725,0.022626,0.144514,0,0,12.17,11.508,11.103,0.036,0.047,0.055,2,16.754,14.888,14.013,13.576,13.24,0.012,0.002,0.002,0.002,0.003,,,,42.7889,42.4213,11.1007,0.919,,,,0.424,0.077,0.412,W3,11.0641,,,,,-1,-1,?,?
117,IC1526,IC 1526,,F23589+1104,00013148+1120465,1237678918057328780,-,0.381103,11.346098,1,0.369,0.253,135.5,H,1,6.0,2.0,47.56,9120.5,5.3,9148.9,13.68,0,0,128.0588,15.1117,113.8047,144.0982,101.1372,162.1465,Z,,15.072,,,,0.318,,,0.313,0.288,0.1206,0.2459,0.8095,1.733,1,1,3,2,10.518921,10.355528,6.57504,5.164402,0.000826,0.002377,0.003731,0.020214,0,0,12.104,11.463,11.171,0.039,0.052,0.067,2,16.009,14.769,14.095,13.721,13.435,0.01,0.002,0.002,0.002,0.004,,,43.8996,43.5611,43.238,11.0624,0.839,,,0.835,1.111,0.824,0.938,F3,10.9862,,,,,-1,-1,?,?
118,PGC000118,CGCG 433-016,,,,1237656495650701475,844578349501147136,0.391547,15.081597,0,0.352,0.153,8.5,H,1,5.9,2.1,66.17,6356.8,4.5,6403.2,13.04,0,0,92.3483,14.1392,79.2383,107.6274,67.9894,125.4344,Z,16.538,15.687,,,0.035,0.319,,,0.201,0.629,,,,,0,0,0,0,14.271675,14.018667,10.292867,7.642476,0.008555,0.025108,0.055704,0.124613,0,0,,,,,,,0,16.366,15.352,14.901,14.654,14.444,0.019,0.004,0.004,0.005,0.015,,,,,,,,,,,,,,,,-0.307,9.854,33.9,8.5143,0,0,?,N
119,PGC000119,KUG 2359+332,,F23590+3316,00013610+3333466,1237663235524001971,-,0.400416,33.562944,0,0.24,0.179,12.0,H,1,,,42.68,7458.9,11.5,7590.1,15.26,0,0,106.8535,13.4654,94.2021,121.2041,83.0485,137.4821,Z,,15.01,,,,0.41,,,0.242,,0.1001,0.0749,0.4999,1.078,1,1,3,2,11.901745,11.689101,7.599031,5.908886,0.001674,0.004417,0.006246,0.030314,0,0,13.481,12.49,12.422,0.072,0.072,0.114,2,16.667,15.521,15.053,14.812,14.6,0.009,0.003,0.002,0.003,0.005,,,43.533,42.9942,42.7829,10.4048,0.764,,,0.468,0.607,0.408,0.572,F3,10.288,,,,,-1,-1,?,?
120,UGC12914,UGC 12914,UGC 12914,F23591+2312,00013830+2329011,1237680299428806739,-,0.409659,23.483594,0,0.933,0.566,159.7,H,1,5.3,1.5,54.2,4348.8,10.1,4434.9,15.16,2,1,53.7919,7.4771,47.5442,60.5187,42.7635,77.0405,N,,13.229,,,,0.343,,,0.481,0.375,0.3442,0.636,6.128,14.01,3,2,3,2,9.341286,9.360234,7.023127,5.051458,0.000262,0.000955,0.006568,0.022432,0,0,10.424,9.656,9.369,0.019,0.021,0.024,2,16.403,14.372,13.187,12.548,12.079,0.014,0.002,0.002,0.002,0.002,44.4403,44.1142,44.0253,42.6284,42.5298,11.0298,,1.03,1.01,0.961,0.282,0.176,1.03,FT,10.9446,,,,,-1,-1,?,?
121,PGC000121,CGCG 477-039,,F23590+2638,00013841+2655230,1237663306382115081,-,0.410042,26.923056,0,0.259,0.132,39.3,H,1,,,61.17,7679.0,10.3,7780.8,14.98,0,0,108.8364,13.9912,95.7072,123.7667,84.1618,140.7451,Z,,15.6,,,,0.41,,,0.199,,0.1062,0.1718,0.4965,0.7927,1,1,3,2,11.573602,11.385358,7.658133,5.376403,0.001099,0.003605,0.005193,0.014327,0,0,12.959,11.988,12.099,0.059,0.057,0.1,2,17.258,15.629,14.91,14.544,14.219,0.015,0.003,0.003,0.003,0.004,,,43.546,42.9865,43.0119,10.5499,0.856,,,0.481,0.6,0.618,0.585,F3,10.4826,,,,,-1,-1,?,?
122,PGC000122,MCG -07-01-007,,,00013109-4049101,-,-,0.37959,-40.819733,0,0.441,0.291,143.0,H,1,5.2,2.1,50.03,6948.9,39.2,6747.1,41.42,0,0,97.949,13.4108,85.4157,112.3212,74.4862,128.8024,Z,,15.34,,,,0.5,,,0.048,0.311,,,,,0,0,0,0,,,,,,,,,0,0,13.694,12.96,13.135,0.069,0.078,0.206,2,,,,,,,,,,,,,,,,10.044,,,,,,,,,9.9588,,,,,-1,-1,?,?
